study_section,n_projects,pct_of_matched,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023
Auditory System Study Section[AUD],7,0.1,0,0,0,0,0,0,0,4,3
Special Emphasis Panel[ZRG1-EMNR-V(02)M],7,0.1,0,0,0,0,0,0,0,4,3
Hypertension and Microcirculation Study Section[HM],7,0.1,0,0,0,0,0,0,0,4,3
Virology - B Study Section[VIRB],7,0.1,0,0,0,0,0,0,0,5,2
ZCA1-SRB-1(J2),7,0.1,0,0,0,0,0,0,0,3,4
Integrative Vascular Physiology and Pathology Study Section[IVPP],7,0.1,0,0,0,0,0,0,0,3,4
Special Emphasis Panel[ZRG1-OTC-J(55)R],7,0.1,0,0,0,0,0,0,0,4,3
Special Emphasis Panel[ZRG1-OBT-D(02)M],7,0.1,0,0,0,0,0,0,0,3,4
Special Emphasis Panel[ZRG1-BST-F(55)R],7,0.1,0,0,0,0,0,0,0,5,2
Special Emphasis Panel[ZRG1-OBT-Q(02)M],7,0.1,0,0,0,0,0,0,0,3,4
Enabling Bioanalytical and Imaging Technologies Study Section[EBIT],7,0.1,0,0,0,0,0,0,0,4,3
Cellular Immunotherapy of Cancer Study Section[CIC],6,0.1,0,0,0,0,0,0,0,0,6
Dissemination and Implementation Research in Health Study Section[DIRH],6,0.1,0,0,0,0,0,0,2,2,2
Special Emphasis Panel[ZRG1 TDPS-R (01)],6,0.1,0,0,0,0,0,0,0,5,1
Special Emphasis Panel[ZRG1-DKUS-M(04)],6,0.1,0,0,0,0,0,0,1,4,1
Special Emphasis Panel[ZRG1-BDCN-E(02)M],6,0.1,0,0,0,0,0,0,1,2,3
ZHL1-CSR-M(F1),6,0.1,0,0,0,0,0,0,1,3,2
Nursing and Related Clinical Sciences Study Section[NRCS],6,0.1,0,0,0,0,0,0,2,3,1
Special Emphasis Panel[ZRG1-BDCN-R(02)M],6,0.1,0,0,0,0,0,0,1,2,3
Special Emphasis Panel[ZRG1-IMM-T(57)],6,0.1,0,0,0,0,0,0,1,3,2
Special Emphasis Panel[ZRG1-BDCN-R(03)S],6,0.1,0,0,0,0,0,0,1,3,2
Special Emphasis Panel[ZRG1-CVRS-N(03)],6,0.1,0,0,0,0,0,0,1,2,3
Clinical Integrative Cardiovascular and Hematological Sciences Study Section[CCHS],6,0.1,0,0,0,0,0,0,0,2,4
Special Emphasis Panel[ZRG1-VH-C(02)],6,0.1,0,0,0,0,0,0,2,3,1
Diseases and Pathophysiology of the Visual System Study Section[DPVS],6,0.1,0,0,0,0,0,0,1,3,2
Macromolecular Structure and Function A Study Section[MSFA],6,0.1,0,0,0,0,0,0,0,3,3
Synthetic and Biological Chemistry A Study Section[SBCA],6,0.1,0,0,0,0,0,0,0,3,3
ZDA1-GXM-A(07)R,6,0.1,0,0,0,0,0,0,0,3,3
Special Emphasis Panel[ZRG1-OTC1-M(80)S],6,0.1,0,0,0,0,0,0,0,0,6
Special Emphasis Panel[ZRG1-VH-D(55)R],6,0.1,0,0,0,0,0,0,2,3,1
"Tumor Evolution, Heterogeneity and Metastasis Study Section[TEHM]",6,0.1,0,0,0,0,0,0,0,0,6
Cellular and Molecular Biology of Neurodegeneration Study Section[CMND],6,0.1,0,0,0,0,0,0,0,3,3
Special Emphasis Panel[ZRG1-MOSS-R(02)M],6,0.1,0,0,0,0,0,0,0,3,3
Clinical Molecular Imaging and Probe Development[CMIP],6,0.1,0,0,0,0,0,0,0,4,2
Special Emphasis Panel[ZRG1-IMST-K(55)R],6,0.1,0,0,0,0,0,0,0,3,3
Special Emphasis Panel[ZRG1-CVRS-A(05)],5,0.1,0,0,0,0,0,0,0,2,3
Basic Mechanisms of Cancer Health Disparities Study Section[BMCD],5,0.1,0,0,0,0,0,0,0,0,5
Special Emphasis Panel[ZRG1-IMM-F(02)M],5,0.1,0,0,0,0,0,0,1,2,2
Imaging Technology Development Study Section[ITD],5,0.1,0,0,0,0,0,0,0,1,4
Special Emphasis Panel[ZRG1-SBIB-D(02)M],5,0.1,0,0,0,0,0,0,1,2,2
Special Emphasis Panel[ZRG1-EMNR-C(02)M],5,0.1,0,0,0,0,0,0,1,2,2
"Behavioral Medicine, Interventions and Outcomes Study Section[BMIO]",5,0.1,0,0,0,0,0,0,2,2,1
Interdisciplinary Clinical Care in Specialty Care Settings Study Section[ICSC],5,0.1,0,0,0,0,0,0,0,2,3
Special Emphasis Panel[ZRG1-EMNR-B(50)R],5,0.1,0,0,0,0,0,0,1,3,1
Special Emphasis Panel[ZRG1-DKUS-J(03)],5,0.1,0,0,0,0,0,0,2,2,1
"Neurotransporters, Receptors, and Calcium Signaling Study Section[NTRC]",5,0.1,0,0,0,0,0,0,1,3,1
Integrative Myocardial Physiology/Pathophysiology B Study Section[MPPB],5,0.1,0,0,0,0,0,0,0,0,5
Synthetic and Biological Chemistry B Study Section[SBCB],5,0.1,0,0,0,0,0,0,0,2,3
Drug Discovery for the Nervous System Study Section[DDNS],5,0.1,0,0,0,0,0,0,0,2,3
"Behavioral Neuroendocrinology, Neuroimmunology, Rhythms, and Sleep Study Section [BNRS]",5,0.1,0,0,0,0,0,0,0,0,5
Special Emphasis Panel[ZRG1-SBIB-Q(02)M],5,0.1,0,0,0,0,0,0,0,4,1
Digestive and Nutrient Physiology and Diseases Study Section [DNPD],5,0.1,0,0,0,0,0,0,0,1,4
Special Emphasis Panel[ZRG1-IMM-C(02)],5,0.1,0,0,0,0,0,0,1,2,2
Special Emphasis Panel[ZRG1-IMST-A(55)R],5,0.1,0,0,0,0,0,0,0,3,2
Chemo/Dietary Prevention Study Section[CDP],5,0.1,0,0,0,0,0,0,0,4,1
Special Emphasis Panel[ZRG1-SBIB-Z(02)M],5,0.1,0,0,0,0,0,0,1,3,1
Special Emphasis Panel[ZRG1 ETTN-P (81)],5,0.1,0,0,0,0,0,0,0,5,0
Special Emphasis Panel[ZRG1 OTC1-M (80)],5,0.1,0,0,0,0,0,0,0,5,0
ZDK1-GRB-G(O3)S,5,0.1,0,0,0,0,0,0,5,0,0
Special Emphasis Panel[ZRG1-BST-V(02)M],4,0.1,0,0,0,0,0,0,0,2,2
Kidney Endocrine and Digestive Disorders Study Section[KEDD],4,0.1,0,0,0,0,0,0,0,0,4
Clinical Data Management and Analysis Study Section[CDMA],4,0.1,0,0,0,0,0,0,0,1,3
"HIV Molecular Virology, Cell Biology, and Drug Development Study Section[HVCD]",4,0.1,0,0,0,0,0,0,0,1,3
ZDK1-GRB-G(M3)S,4,0.1,0,0,0,0,0,0,0,0,4
Special Emphasis Panel[ZRG1-DKUS-R(04)],4,0.1,0,0,0,0,0,0,1,1,2
Special Emphasis Panel[ZRG1-CCHF-S(01)],4,0.1,0,0,0,0,0,0,0,2,2
ZAG1-ZIJ-P(J1),4,0.1,0,0,0,0,0,0,0,2,2
Special Emphasis Panel[ZRG1-CVRS-C(02)],4,0.1,0,0,0,0,0,0,0,2,2
Special Emphasis Panel[ZRG1-DKUS-A(90)],4,0.1,0,0,0,0,0,0,0,2,2
Chronic Dysfunction and Integrative Neurodegeneration Study Section[CDIN],4,0.1,0,0,0,0,0,0,0,1,3
ZGM1-BBCB-5(BM),4,0.1,0,0,0,0,0,0,0,2,2
Special Emphasis Panel[ZRG1-DKUS-M(50)],4,0.1,0,0,0,0,0,0,0,2,2
Special Emphasis Panel[ZRG1 TIO-D (01)],4,0.1,0,0,0,0,0,0,0,0,4
Special Emphasis Panel[ZRG1-DKUS-P(02)],4,0.1,0,0,0,0,0,0,1,2,1
Chemosensory Systems Study Section[CSS],4,0.1,0,0,0,0,0,0,0,2,2
ZAG1-ZIJ-P(A1),4,0.1,0,0,0,0,0,0,0,2,2
Molecular Genetics A Study Section[MGA],4,0.1,0,0,0,0,0,0,0,2,2
Special Emphasis Panel[ZRG1-IMST-U(55)R],4,0.1,0,0,0,0,0,0,0,1,3
Special Emphasis Panel[ZRG1-OTC-L(02)M],4,0.1,0,0,0,0,0,0,0,1,3
Special Emphasis Panel[ZRG1-SBIB-Q(57)R],4,0.1,0,0,0,0,0,0,0,2,2
Special Emphasis Panel[ZRG1 OBT-Y (55)],4,0.1,0,0,0,0,0,0,0,2,2
Special Emphasis Panel[ZRG1 OTC-D (08)],4,0.1,0,0,0,0,0,0,0,2,2
Molecular Genetics B Study Section[MGB],4,0.1,0,0,0,0,0,0,0,2,2
Special Emphasis Panel[ZRG1 OTC1-A (80)],4,0.1,0,0,0,0,0,0,0,0,4
Biochemical and Cellular Oncogenesis Study Section[BCO],4,0.1,0,0,0,0,0,0,0,0,4
Special Emphasis Panel[ZRG1-CB-S(02)M],4,0.1,0,0,0,0,0,0,0,2,2
Special Emphasis Panel[ZRG1-EMNR-H(02)M],4,0.1,0,0,0,0,0,0,0,2,2
Special Emphasis Panel[ZRG1-OBT-Z(55)R],4,0.1,0,0,0,0,0,0,0,3,1
Molecular and Integrative Signal Transduction Study Section[MIST],4,0.1,0,0,0,0,0,0,0,3,1
ZAG1-ZIJ-G(A1),4,0.1,0,0,0,0,0,0,0,2,2
Special Emphasis Panel[ZRG1-DKUS-H(04)],4,0.1,0,0,0,0,0,0,1,1,2
Special Emphasis Panel[ZRG1-IMM-T(02)],4,0.1,0,0,0,0,0,0,1,2,1
ZCA1-RPRB-H(J2),4,0.1,0,0,0,0,0,0,0,2,2
Special Emphasis Panel[ZRG1-ETTN-L(53)R],4,0.1,0,0,0,0,0,0,0,4,0
ZDK1-GRB-J(M1)S,4,0.1,0,0,0,0,0,0,4,0,0
Special Emphasis Panel[ZRG1-IDIB-J(02)],3,0.1,0,0,0,0,0,0,0,0,3
Therapeutic Development and Preclinical Studies Study Section[TDPS],3,0.1,0,0,0,0,0,0,0,0,3
Special Emphasis Panel[ZRG1 KUDS-W (05)],3,0.1,0,0,0,0,0,0,0,0,3
Special Emphasis Panel[ZDK1 GRB-J (M1)],3,0.1,0,0,0,0,0,0,0,0,3
Special Emphasis Panel[ZRG1-HDM-A(57)],3,0.1,0,0,0,0,0,0,1,1,1
ZCA1-SRB-K(J1)R,3,0.1,0,0,0,0,0,0,1,1,1
Special Emphasis Panel[ZRG1-MOSS-R(02)S],3,0.1,0,0,0,0,0,0,1,1,1
Special Emphasis Panel[ZRG1-SBIB-N(52)R],3,0.1,0,0,0,0,0,0,1,1,1
Special Emphasis Panel[ZRG1-EMNR-F(50)R],3,0.1,0,0,0,0,0,0,0,1,2
Special Emphasis Panel[ZRG1-DKUS-B(90)],3,0.1,0,0,0,0,0,0,1,1,1
Clinical Management of Patients in Community-based Settings Study Section[CMPC],3,0.1,0,0,0,0,0,0,1,1,1
Healthcare and Health Disparities Study Section[HHD],3,0.1,0,0,0,0,0,0,0,1,2
Special Emphasis Panel[ZRG1(81)-S],3,0.1,0,0,0,0,0,0,0,2,1
Special Emphasis Panel[ZRG1-DKUS-R(90)],3,0.1,0,0,0,0,0,0,1,1,1
Special Emphasis Panel[ZRG1-IDIB-J(50)R],3,0.1,0,0,0,0,0,0,0,0,3
Special Emphasis Panel[ZRG1-OTC1-J(55)R],3,0.1,0,0,0,0,0,0,0,0,3
